AAAS
EIF2B5
EIF4G1
ELF2
ELOVL4
ELOVL5
EMC1
ENTPD1
EOMES
EP300
EPM2A
EPRS
EPT1
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC8
ERLIN1
ERLIN2
ETHE1
EXOSC3
FA2H
FAM126A
FAM36A
FARS2
FASTKD2
FAT1
FAT2
FBXL4
FGF12
FGF14
FKRP
FKTN
FLNC
FLRT1
FLVCR1
FMR1
FOLR1
FOXG1
FOXRED1
FRMD4A
FRRS1L
FTL
FUS
FXN
GABBR2
GABRA1
GABRB1
GABRB3
GAD1
GALC
GAMT
GAN
GARS
GBA
GBA2
GBE1
GCH1
GCLC
GDAP1
GFAP
GJA1
GJB1
GJC2
GLB1
GM2A
GMPPA
GMPPB
GNAL
GNAO1
GNB4
GON7
GOSR2
GPAA1
GPI
GPR56
GRIA4
GRID2
GRIK2
GRIN1
GRIN2B
GRIN2D
GRM1
GRN
GSS
GUF1
HACE1
HARS
HCN1
HEPACAM
HERC1
HEXA
HEXB
HIBCH
HIKESHI
HINT1
HLCS
HNRNPH2
HNRNPU
HPCA
HPRT1
HSD17B4
HSPD1
HTRA1
IBA57
IFRD1
IFT140
IKBKAP
INF2
INPP5E
ISPD
ITM2B
ITPA
ITPR1
KANK1
KARS
KAT6A
KCNA1
KCNA2
KCNB1
KCNC1
KCNC3
KCND3
KCNJ10
KCNMA1
KCNQ2
KCNT1
KCNT2
KCTD7
KCTD17
KIAA0196
KIAA0556
KIAA0586
KIDINS220
KIF1A
KIF1B
KIF1C
KIF26B
KIF5A
KIF7
KLC2
KMT2B
KPNA7
KY
L1CAM
L2HGDH
LAGE3
LAMA1
LAMB1
LARGE1
LARS2
LIG4
LITAF
LMNA
LMNB1
LMNB2
LRP4
LRPPRC
LRSAM1
LYST
MAG
MAN2B1
MAPK10
MARS2
MBD5
MCM3AP
MCSZ
MECP2
MECR
MED13L
MED25
MFSD8
MGME1
MKS1
MLC1
MMACHC
MMADHC
MME
MORC2
MPDU1
MPV17
MPZ
MRE11
MRE11A
MSTO1
MTFMT
MTMR2
MTPAP
MTTP
MVK
NALCN
NAT8L
NAXE
ND1
ND5
NDUFA1
NDUFA10
NDUFA11
NDUFA12
NDUFA2
NDUFA9
NDUFAF1
NDUFAF2
NDUFAF3
NDUFAF4
NDUFAF5
NDUFAF6
NDUFB11
NDUFB3
NDUFB9
NDUFS1
NDUFS2
NDUFS3
NDUFS4
NDUFS6
NDUFS7
NDUFS8
NDUFV1
NDUFV2
NECAP1
NEFL
NEU1
NF2
NHLRC1
NIPA1
NKX2-1
NKX6-2
NOL3
NOP56
NPC1
NPC2
NPHP1
NSD1
NT5C2
NTRK2
NUBPL
NUP62
OFD1
OPA1
OPA3
OPHN1
OSGEP
OTC
OTUD4
PAFAH1B1
PAH
PANK2
PAX6
PC
PCDH19
PCNA
PDE2A
PDE6D
PDGFB
PDGFRB
PDHA1
PDHB
PDSS1
PDSS2
PDYN
PET100
PEX1
PEX10
PEX12
PEX2
PEX26
PEX5
PEX6
PEX7
PGAP1
PGK1
PGM3
PHYH
PIBF1
PIEZO2
PIGG
PIGP
PIK3R5
PITRM1
PLA2G6
PLCB1
PLD3
PLP1
PMCA2
PMM2
PMP22
PMPCA
PNKD
PNKP
PNP
PNPLA6
POLG
POLG2
POLR1A
POLR1C
POLR3A
POLR3B
POMGNT1
POMGNT2
POMT1
POMT2
PPP2R2B
PPT1
PRDM8
PRF1
PRICKLE1
PRICKLE2
PRKCG
PRKRA
PRNP
PRPS1
PRRT2
PRX
PSAP
PSEN1
PTEN
PTRH2
PTS
PUM1
PYCR2
QARS
RAB3GAP2
RARS
RARS2
REEP1
REEP2
RELN
RFT1
RHOBTB2
RNASEH1
RNASET2
RNF168
RNF170
RNF216
RNU12
ROGDI
RORA
RPGRIP1L
RPL10
RRM2B
RTN2
RTN4IP1
RUBCN
SACS
SAMD9L
SARS
SCARB2
SCN10A
SCN11A
SCN1A
SCN1B
SCN2A
SCN3A
SCN4A
SCN8A
SCN9A
SCO1
SCYL1
SDHA
SDHAF1
SDHD
SEPSECS
SETX
SGCE
SGPL1
SH3TC2
SHROOM4
SIK1
SIL1
SLC12A5
SLC13A5
SLC16A2
SLC17A5
SLC19A2
SLC19A3
SLC1A2
SLC1A3
SLC1A4
SLC20A2
SLC25A1
SLC25A12
SLC25A2
SLC25A22
SLC25A32
SLC25A46
SLC2A1
SLC30A10
SLC30A9
SLC33A1
SLC35A2
SLC39A4
SLC46A1
SLC52A2
SLC52A3
SLC6A1
SLC6A19
SLC6A2
SLC9A1
SLC9A6
SMARCA1
SMARCA4
SNAP25
SNCA
SNCB
SNX14
SOD1
SOX10
SPART
SPAST
SPEG
SPG11
SPG7
SPR
SPTAN1
SPTBN2
SQSTM1
ST3GAL3
STUB1
STXBP1
SUCLA1
SUCLG1
SUFU
SULT4A1
SUMF1
SUOX
SURF1
SYNE1
SYNJ1
SYT14
SZT2
TACO1
TAF1
TBC1D23
TBC1D24
TBCE
TBK1
TBP
TCF4
TCN2
TCTN1
TCTN2
TCTN3
TDP1
TDP2
TECPR2
TELO2
TFG
TGM6
TH
THAP1
THG1L
TIMMDC1
TINF2
TK2
TMEM106B
TMEM107
TMEM126B
TMEM138
TMEM216
TMEM231
TMEM237
TMEM240
TMEM67
TMEM70
TOE1
TOR1A
TP53RK
TPK1
TPP1
TRAPPC11
TRIM2
TRNT1
TRPC3
TSEN15
TSEN2
TSEN34
TSEN54
TSFM
TSGA14
TTBK2
TTC19
TTC21B
TTPA
TTR
TUBA1A
TUBB
TUBB2A
TUBB4A
TWNK
TYMP
UBA5
UBE3A
UBR4
UCHL1
UNC80
UQCRB
UQCRQ
UROC1
USP8
VAMP1
VARS2
VCP
VHL
VLDLR
VPS11
VPS13D
VPS37A
VPS53
VRK1
VWA3B
WARS2
WDR26
WDR48
WDR62
WDR73
WDR81
WFS1
WWOX
XPA
XPC
XPR1
XRCC1
XRCC4
YARS
YME1L1
YWHAG
ZFR
ZFYVE26
ZFYVE27
ZIC1
ZNF238
ZNF423

